,0
average_syll_pause_duration,0.7515247933884297
No._long_pause,12.889848484848486
speaking_time,69.78
ave_No._of_words_in_minutes,2.2967505902597463
articulation_rate,3.996346027051958
No._words_in_minutes,108.3450845663177
formants_index,392.3115555555555
f0_index,1.0853376554735858
f0_quantile_25_index,1.1629792356955495
f0_quantile_50_index,228.3916159443692
f0_quantile_75_index,1.050003770056024
f0_std,39.22652523229321
f0_max,394.1238060807072
f0_min,76.97042624913028
No._detected_vowel,69.0
perc%._correct_vowel,0.425531914893617
(f2/f1)_mean,2.245555946093173
(f2/f1)_std,0.5633787622917731
no._of_words,140.0
no._of_pauses,22.0
intonation_index,7.0
(voiced_syll_count)/(no_of_pause),11.045454545454543
TOEFL_Scale_Score,22.0
Score_Shannon_index,2.85
speaking_rate,3.1420074524232127
